Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AE:E0:C1:1E:EA:46, 2018-05-25 13:50:26, 2018-05-25 13:50:26, -81,        1, (not associated) ,
3C:2E:F9:F2:7D:80, 2018-05-25 13:38:05, 2018-05-25 13:50:23, -81,        7, 7C:95:F3:CC:68:F2,
3A:13:B8:A8:22:F1, 2018-05-25 13:50:27, 2018-05-25 13:50:27, -82,        2, (not associated) ,
A0:4E:A7:21:16:0D, 2018-05-25 13:50:17, 2018-05-25 13:50:24, -82,        3, 84:B8:02:89:18:D3,eduroam
4A:82:F3:96:42:BA, 2018-05-25 13:50:28, 2018-05-25 13:50:28, -84,        1, (not associated) ,
68:B5:99:34:0C:74, 2018-05-25 13:33:36, 2018-05-25 13:50:28, -85,       19, (not associated) ,wantdino
22:A7:A9:79:87:D0, 2018-05-25 13:50:25, 2018-05-25 13:50:25, -87,        1, (not associated) ,
D4:50:3F:B4:3E:41, 2018-05-25 13:30:51, 2018-05-25 13:50:24, -88,      292, 00:A2:EE:0C:25:42,H&M Free WiFi,AFIGuest,.Bridgeport_Village_Free_WiFi,ZoomRooms,CityGuest,default
72:D3:DC:2F:6E:EC, 2018-05-25 13:50:16, 2018-05-25 13:50:16, -74,        1, 00:25:00:FF:94:73,
5C:97:F3:34:A9:09, 2018-05-25 13:35:38, 2018-05-25 13:50:16, -74,       18, C0:25:5C:60:C3:C0,PSU
48:3B:38:11:3B:0C, 2018-05-25 13:42:01, 2018-05-25 13:50:16, -76,      128, 7C:95:F3:72:97:52,PSU Secure
96:48:1A:EE:AB:B9, 2018-05-25 13:50:10, 2018-05-25 13:50:11, -78,        2, (not associated) ,
46:9F:87:EC:75:1A, 2018-05-25 13:50:15, 2018-05-25 13:50:15, -80,        2, (not associated) ,
B4:AE:2B:3C:44:A5, 2018-05-25 13:31:11, 2018-05-25 13:50:11, -80,       23, (not associated) ,
00:17:23:17:FC:E8, 2018-05-25 13:49:40, 2018-05-25 13:50:15, -83,        7, (not associated) ,TMVBWN
DC:74:A8:83:57:2C, 2018-05-25 13:49:43, 2018-05-25 13:50:16, -90,        5, (not associated) ,
B4:F7:A1:70:9D:1D, 2018-05-25 13:49:47, 2018-05-25 13:50:03, -70,        6, (not associated) ,
66:5E:A2:C3:A5:58, 2018-05-25 13:39:59, 2018-05-25 13:50:04, -75,       21, (not associated) ,
3C:F8:62:C2:02:1D, 2018-05-25 13:32:58, 2018-05-25 13:49:59, -76,       18, (not associated) ,
8E:A7:69:DC:41:C2, 2018-05-25 13:50:03, 2018-05-25 13:50:03, -77,        1, (not associated) ,
64:20:0C:EC:3C:29, 2018-05-25 13:48:31, 2018-05-25 13:50:02, -78,        4, (not associated) ,
E6:49:9E:FB:E9:FD, 2018-05-25 13:50:02, 2018-05-25 13:50:02, -80,        1, (not associated) ,
DA:A1:19:48:8C:40, 2018-05-25 13:50:00, 2018-05-25 13:50:00, -80,        1, (not associated) ,
68:17:29:63:A7:E5, 2018-05-25 13:30:33, 2018-05-25 13:50:00, -82,       25, C0:25:5C:60:C3:C0,PSU
B8:D7:AF:11:40:BE, 2018-05-25 13:35:17, 2018-05-25 13:50:01, -84,        8, (not associated) ,
06:61:30:6E:68:55, 2018-05-25 13:50:00, 2018-05-25 13:50:00, -86,        3, (not associated) ,
12:1F:3E:CE:69:6C, 2018-05-25 13:49:45, 2018-05-25 13:50:02, -88,        3, (not associated) ,
F8:77:B8:8B:BD:29, 2018-05-25 13:30:28, 2018-05-25 13:50:02, -91,       35, (not associated) ,
86:D4:CA:CD:90:BB, 2018-05-25 13:49:47, 2018-05-25 13:49:47, -69,        1, (not associated) ,
00:34:DA:3D:0A:B9, 2018-05-25 13:30:48, 2018-05-25 13:49:49, -79,       22, 7C:95:F3:CC:6B:32,ZIDM457X
F6:98:EC:42:67:88, 2018-05-25 13:49:51, 2018-05-25 13:49:51, -88,        1, (not associated) ,
60:A4:D0:A6:51:34, 2018-05-25 13:49:47, 2018-05-25 13:49:47, -91,        1, (not associated) ,
9C:30:5B:59:2B:71, 2018-05-25 13:30:35, 2018-05-25 13:49:35, -69,       37, (not associated) ,
36:1F:89:69:F7:AF, 2018-05-25 13:49:36, 2018-05-25 13:49:36, -73,        1, (not associated) ,
4C:BB:58:2D:AA:69, 2018-05-25 13:31:09, 2018-05-25 13:49:40, -76,       65, 3C:CE:73:F9:23:A2,PSU Secure
DA:A1:19:20:1C:D0, 2018-05-25 13:49:39, 2018-05-25 13:49:39, -79,        1, (not associated) ,
5C:70:A3:62:7C:77, 2018-05-25 13:33:36, 2018-05-25 13:49:40, -83,       23, 50:17:FF:9E:06:42,
DA:A1:19:D5:63:4E, 2018-05-25 13:49:39, 2018-05-25 13:49:39, -85,        1, (not associated) ,
16:B2:23:10:4F:C1, 2018-05-25 13:49:38, 2018-05-25 13:49:38, -86,        1, (not associated) ,
B2:0F:CA:99:6F:B7, 2018-05-25 13:49:23, 2018-05-25 13:49:23, -77,        1, (not associated) ,
12:CB:DF:49:EC:0D, 2018-05-25 13:49:23, 2018-05-25 13:49:23, -77,        1, (not associated) ,
9E:39:4A:7B:57:74, 2018-05-25 13:49:23, 2018-05-25 13:49:23, -78,        1, (not associated) ,
AC:D1:B8:73:E6:C9, 2018-05-25 13:31:12, 2018-05-25 13:49:28, -83,       27, (not associated) ,
AE:DB:B1:36:D0:56, 2018-05-25 13:49:28, 2018-05-25 13:49:28, -85,        1, (not associated) ,
0C:8B:FD:46:F7:4E, 2018-05-25 13:40:07, 2018-05-25 13:49:16,  -1,       16, 7C:95:F3:CC:6B:30,
00:AE:FA:FF:BD:1E, 2018-05-25 13:49:13, 2018-05-25 13:49:13, -51,        3, (not associated) ,
60:E3:AC:F3:97:97, 2018-05-25 13:32:44, 2018-05-25 13:49:11, -77,       12, (not associated) ,
B4:BF:F6:C9:57:C9, 2018-05-25 13:30:29, 2018-05-25 13:49:16, -81,       32, (not associated) ,
CC:61:E5:1A:F8:97, 2018-05-25 13:43:44, 2018-05-25 13:49:16, -83,       30, 50:17:FF:9E:06:41,PSU Guest
04:1B:6D:A5:FC:AF, 2018-05-25 13:46:51, 2018-05-25 13:49:13, -85,       15, 7C:95:F3:CC:64:12,PSU Secure
B2:39:56:76:D5:2B, 2018-05-25 13:30:37, 2018-05-25 13:49:16, -89,       27, (not associated) ,ARRIS-12F8
78:4F:43:73:95:F6, 2018-05-25 13:49:01, 2018-05-25 13:49:01, -83,        1, (not associated) ,CityGuest
DA:A1:19:05:3D:34, 2018-05-25 13:49:03, 2018-05-25 13:49:03, -86,        1, (not associated) ,
B0:39:56:77:D5:2B, 2018-05-25 13:30:37, 2018-05-25 13:49:02, -90,       24, (not associated) ,ARRIS-12F8
6E:6E:F6:E6:0E:9B, 2018-05-25 13:48:47, 2018-05-25 13:48:47, -76,        2, (not associated) ,
5C:09:47:64:50:9D, 2018-05-25 13:41:38, 2018-05-25 13:48:50, -82,        3, (not associated) ,PSU
40:98:AD:8E:9E:F1, 2018-05-25 13:43:59, 2018-05-25 13:48:39, -69,       61, 00:00:00:00:00:00,PSU
36:2E:DA:5C:CF:CA, 2018-05-25 13:48:36, 2018-05-25 13:48:36, -72,        2, (not associated) ,
FA:2B:CA:FA:7E:26, 2018-05-25 13:48:38, 2018-05-25 13:48:38, -76,        3, (not associated) ,
40:4D:7F:5D:17:BB, 2018-05-25 13:31:40, 2018-05-25 13:48:39, -83,      138, 50:17:FF:9E:06:40,PSU
EE:C1:87:54:F4:44, 2018-05-25 13:48:36, 2018-05-25 13:48:36, -84,        1, (not associated) ,
58:00:E3:FF:B9:8D, 2018-05-25 13:31:59, 2018-05-25 13:48:39, -89,       10, 7C:95:F3:CC:73:42,PSU Secure
B0:70:2D:EA:E7:1A, 2018-05-25 13:32:17, 2018-05-25 13:48:26, -74,       67, 7C:95:F3:CC:6D:32,PSU Secure
8E:42:53:93:FE:23, 2018-05-25 13:48:25, 2018-05-25 13:48:25, -79,        1, (not associated) ,
A8:5C:2C:79:F7:AF, 2018-05-25 13:32:53, 2018-05-25 13:48:11, -67,      116, BC:F1:F2:7A:C8:42,PSU Secure
A2:8C:62:89:C2:7E, 2018-05-25 13:48:15, 2018-05-25 13:48:15, -81,        1, (not associated) ,
2E:AC:84:75:6B:0B, 2018-05-25 13:48:14, 2018-05-25 13:48:14, -81,        1, (not associated) ,
1A:4B:F0:38:FC:23, 2018-05-25 13:48:14, 2018-05-25 13:48:14, -87,        1, (not associated) ,
B4:9C:DF:AC:DD:9A, 2018-05-25 13:46:39, 2018-05-25 13:48:04, -72,       25, 3C:CE:73:F9:23:A0,PSU
80:B0:3D:89:EE:64, 2018-05-25 13:31:27, 2018-05-25 13:48:01, -73,       37, 7C:95:F3:CC:6B:30,PSU
C6:58:CA:55:76:F1, 2018-05-25 13:48:02, 2018-05-25 13:48:02, -82,        1, (not associated) ,
C2:24:B8:D9:F9:B3, 2018-05-25 13:48:02, 2018-05-25 13:48:02, -83,        1, (not associated) ,
3E:C4:FE:C2:4B:BC, 2018-05-25 13:47:59, 2018-05-25 13:47:59, -83,        1, (not associated) ,
